name,psnr,bpp
kodim01,35.977894,1.319378
kodim02,37.120733,0.491765
kodim03,39.446401,0.400741
kodim04,37.317424,0.604601
kodim05,36.582697,1.277108
kodim06,36.834254,0.989932
kodim07,39.074697,0.522092
kodim08,35.667489,1.283175
kodim09,38.537602,0.448648
kodim10,38.395996,0.456589
kodim11,36.691075,0.837366
kodim12,37.980716,0.458032
kodim13,35.266162,1.923696
kodim14,36.150936,1.094067
kodim15,37.709467,0.549202
kodim16,37.650855,0.659064
kodim17,37.964605,0.575403
kodim18,35.922847,1.148502
kodim19,36.95047,0.776094
kodim20,38.423796,0.541039
kodim21,37.178726,0.88414
kodim22,36.303564,0.886439
kodim23,39.182389,0.382171
kodim24,36.887079,1.059237
,avg_psnr,avg_bpp
,37.30074475,0.8153533749999999
