name,psnr,bpp
kodim01,40.818605,2.160562
kodim02,41.222022,1.100423
kodim03,42.819794,0.777935
kodim04,41.264081,1.232635
kodim05,40.941859,2.050841
kodim06,41.309156,1.700108
kodim07,42.531504,0.895567
kodim08,40.21905,2.226025
kodim09,41.03258,0.807089
kodim10,41.102397,0.830293
kodim11,41.255044,1.550935
kodim12,41.695025,0.949464
kodim13,40.257019,2.977243
kodim14,40.889387,1.968992
kodim15,41.648796,1.147564
kodim16,41.831514,1.223121
kodim17,41.397062,1.078628
kodim18,39.974942,2.011339
kodim19,40.82999,1.413833
kodim20,41.190436,1.03683
kodim21,40.36237,1.506537
kodim22,40.516445,1.686653
kodim23,41.984499,0.742941
kodim24,41.267201,1.756871
,avg_psnr,avg_bpp
,41.181699083333335,1.4513512083333329
