name,psnr,bpp
kodim01,28.027723,0.32425
kodim02,31.498488,0.104768
kodim03,33.359065,0.118321
kodim04,31.442198,0.139605
kodim05,28.884364,0.437304
kodim06,29.470037,0.285256
kodim07,32.671424,0.181971
kodim08,28.561036,0.430395
kodim09,32.92958,0.153778
kodim10,32.860698,0.153605
kodim11,30.002341,0.228259
kodim12,32.205305,0.115923
kodim13,26.788312,0.551931
kodim14,29.147948,0.312649
kodim15,31.957844,0.136599
kodim16,31.0398,0.173211
kodim17,32.107908,0.187352
kodim18,29.063033,0.346393
kodim19,30.411577,0.186093
kodim20,32.246271,0.143704
kodim21,30.187596,0.283703
kodim22,29.702006,0.207502
kodim23,33.85593,0.125006
kodim24,29.274634,0.32814
,avg_psnr,avg_bpp
,30.737296583333336,0.23565491666666663
