name,psnr,bpp
kodim01,32.679818,0.84072
kodim02,34.688377,0.26888
kodim03,36.99267,0.2563
kodim04,34.723169,0.351629
kodim05,33.505886,0.872201
kodim06,33.864587,0.635006
kodim07,36.70385,0.349933
kodim08,32.796999,0.866618
kodim09,36.44532,0.301793
kodim10,36.243183,0.295629
kodim11,33.838415,0.516649
kodim12,35.580751,0.275416
kodim13,31.786106,1.300899
kodim14,33.113932,0.686774
kodim15,35.247325,0.318194
kodim16,34.920791,0.410606
kodim17,35.557536,0.37397
kodim18,33.196143,0.747318
kodim19,34.032882,0.461942
kodim20,35.628592,0.308748
kodim21,34.315132,0.580583
kodim22,33.512378,0.531984
kodim23,37.224837,0.251515
kodim24,33.7752,0.701563
,avg_psnr,avg_bpp
,34.59891162500001,0.52103625
